address,location/lat,location/lng,name,numberOfGuests,pricing/nights,pricing/rate/amount,pricing/rate/amountFormatted,pricing/rateType,pricing/totalPrice/accommodation,pricing/totalPrice/amount,pricing/totalPrice/amountFormatted,pricing/totalPrice/cleaningFee,pricing/totalPrice/currency,pricing/totalPrice/guestFee,primaryHost/badges/0,primaryHost/badges/1,roomType,stars,stand address,praia,price per guest,price per night,norm price per guest,reviews numerical,score
"Recife, Pernambuco, Brazil",-8.116,-34.897,Flat Premium Boa Viagem com Automação Alexa,4,3,370.0,R$370,nightly,1030,1110,"R$1,110",80.0,BRL,,36 Reviews,Identity verified,Entire serviced apartment,4.94,Recife,0,92.5,370.0,0.993,36.0,5.678
"Pina, Pernambuco, Brazil",-8.09986,-34.88588,Incrível Apto em Boa Viagem,8,3,798.67,R$798.67,nightly,1950,2396,"R$2,396",150.0,BRL,296.0,35 Reviews,Identity verified,Entire rental unit,4.88,Pina,1,99.833,798.667,0.992,35.0,5.559
"Boa Viagem, Pernambuco, Brazil",-8.11756,-34.89362,Excelente Flat em Boa Viagem com vista para o mar!,4,3,355.67,R$355.67,nightly,885,1067,"R$1,067",50.0,BRL,132.0,33 Reviews,Identity verified,Entire serviced apartment,4.82,Boa Viagem,1,88.917,355.667,0.993,33.0,5.342
"Boa Viagem, Pernambuco, Brazil",-8.11976,-34.89653,Apartamento luxuoso e aconchegante,4,3,365.33,R$365.33,nightly,810,1096,"R$1,096",150.0,BRL,136.0,33 Reviews,Identity verified,Entire rental unit,4.79,Boa Viagem,1,91.333,365.333,0.993,33.0,5.333
"Boa Viagem, Pernambuco, Brazil",-8.1451,-34.9045,Apartamento completo 3 quartos em boa viagem,4,3,319.67,R$959,nightly,780,959,R$959,60.0,BRL,119.0,32 Reviews,Identity verified,Entire condo,4.87,Boa Viagem,1,79.917,319.667,0.994,32.0,5.257
"Boa Viagem, Pernambuco, Brazil",-8.12,-34.896,Praia de Boa Viagem - Apartamento de 4 quartos,8,3,631.33,R$631.33,nightly,1500,1894,"R$1,894",160.0,BRL,234.0,32 Reviews,Identity verified,Entire rental unit,4.8,Boa Viagem,1,78.917,631.333,0.994,32.0,5.236
"Torre, Pernambuco, Brazil",-8.04807,-34.90913,"Cantinho familiar, sinta-Se em casa",1,3,74.33,R$223,nightly,195,223,R$223,,BRL,28.0,30 Reviews,Identity verified,Private room in earthen home,4.92,Torre,0,74.333,74.333,0.994,30.0,5.072
"Rosarinho, Pernambuco, Brazil",-8.03113,-34.89858,Casa Rosarinho Quarto 1- próx. a Jaqueira.,5,3,91.33,R$274,nightly,240,274,R$274,,BRL,34.0,29 Reviews,Identity verified,Private room in home,5.0,Rosarinho,0,18.267,91.333,0.999,29.0,4.999
"Boa Viagem, Pernambuco, Brazil",-8.12677,-34.90427,linda vista mar.,7,3,399.33,R$399.33,nightly,900,1198,"R$1,198",150.0,BRL,148.0,29 Reviews,Identity verified,Entire condo,4.59,Boa Viagem,1,57.048,399.333,0.995,29.0,4.874
"Recife, Pernambuco, Brazil",-8.06357,-34.89372,Beach Class Ilha do Leite - Apto 34m2 decorado!,2,3,277.67,R$833,nightly,630,833,R$833,100.0,BRL,103.0,27 Reviews,Identity verified,Entire condo,4.96,Recife,0,138.833,277.667,0.989,27.0,4.781
"Graças, Pernambuco, Brazil",-8.05,-34.899,Apartamento  ( 1 suíte) com piscina,2,3,280.67,R$842,nightly,633,842,R$842,105.0,BRL,104.0,27 Reviews,Identity verified,Entire rental unit,4.74,Graças,0,140.333,280.667,0.989,27.0,4.715
